0 0.00  2.44 0.00  1.94 0.00  1.61 0.00  1.33 0.00  1.26 0.00  1.18 0.00  1.08 0.00  1.06 0.00  1.01 0.00  0.98 0.00  0.97 0.00  0.95 0.00  0.94 0.00  0.94 0.00  0.93 0.00  0.93 0.00  0.92 0.00  0.92 0.00  0.92 0.00  0.92
1 0.11  4.36 0.00  3.86 0.00  3.36 0.00  2.91 0.00  2.53 0.00  2.19 0.00  1.88 0.00  1.59 0.00  1.39 0.00  1.22 0.00  1.14 0.00  1.10 0.00  1.07 0.00  1.05 0.00  1.03 0.00  1.01 0.00  1.00 0.00  0.99 0.00  0.99 0.00  0.98
2 0.53  5.91 0.03  5.41 0.00  4.91 0.00  4.41 0.00  3.91 0.00  3.45 0.00  3.04 0.00  2.67 0.00  2.33 0.00  1.73 0.00  1.57 0.00  1.38 0.00  1.27 0.00  1.21 0.00  1.15 0.00  1.11 0.00  1.09 0.00  1.08 0.00  1.06 0.00  1.05
3 1.10  7.42 0.60  6.92 0.10  6.42 0.00  5.92 0.00  5.42 0.00  4.92 0.00  4.42 0.00  3.95 0.00  3.53 0.00  2.78 0.00  2.14 0.00  1.75 0.00  1.49 0.00  1.37 0.00  1.29 0.00  1.24 0.00  1.21 0.00  1.18 0.00  1.15 0.00  1.14
4 1.47  8.60 1.17  8.10 0.74  7.60 0.24  7.10 0.00  6.60 0.00  6.10 0.00  5.60 0.00  5.10 0.00  4.60 0.00  3.60 0.00  2.83 0.00  2.56 0.00  1.98 0.00  1.82 0.00  1.57 0.00  1.45 0.00  1.37 0.00  1.31 0.00  1.27 0.00  1.24
5 1.84  9.99 1.53  9.49 1.25  8.99 0.93  8.49 0.43  7.99 0.00  7.49 0.00  6.99 0.00  6.49 0.00  5.99 0.00  4.99 0.00  4.07 0.00  3.28 0.00  2.60 0.00  2.38 0.00  1.85 0.00  1.70 0.00  1.58 0.00  1.48 0.00  1.39 0.00  1.32
6 2.21 11.47 1.90 10.97 1.61 10.47 1.33  9.97 1.08  9.47 0.65  8.97 0.15  8.47 0.00  7.97 0.00  7.47 0.00  6.47 0.00  5.47 0.00  4.54 0.00  3.73 0.00  3.02 0.00  2.40 0.00  2.21 0.00  1.86 0.00  1.67 0.00  1.55 0.00  1.47
7 3.56 12.53 3.06 12.03 2.56 11.53 2.09 11.03 1.59 10.53 1.18 10.03 0.89  9.53 0.39  9.03 0.00  8.53 0.00  7.53 0.00  6.53 0.00  5.53 0.00  4.58 0.00  3.77 0.00  3.26 0.00  2.81 0.00  2.23 0.00  2.07 0.00  1.86 0.00  1.69
8 3.96 13.99 3.46 13.49 2.96 12.99 2.51 12.49 2.14 11.99 1.81 11.49 1.51 10.99 1.06 10.49 0.66  9.99 0.00  8.99 0.00  7.99 0.00  6.99 0.00  5.99 0.00  5.05 0.00  4.22 0.00  3.49 0.00  2.83 0.00  2.62 0.00  2.11 0.00  1.95
9 4.36 15.30 3.86 14.80 3.36 14.30 2.91 13.80 2.53 13.30 2.19 12.80 1.88 12.30 1.59 11.80 1.33 11.30 0.43 10.30 0.00  9.30 0.00  8.30 0.00  7.30 0.00  6.30 0.00  5.30 0.00  4.30 0.00  3.93 0.00  3.25 0.00  2.64 0.00  2.45
10 5.50 16.50 5.00 16.00 4.50 15.50 4.00 15.00 3.50 14.50 3.04 14.00 2.63 13.50 2.27 13.00 1.94 12.50 1.19 11.50 0.22 10.50 0.00  9.50 0.00  8.50 0.00  7.50 0.00  6.50 0.00  5.56 0.00  4.71 0.00  3.95 0.00  3.27 0.00  3.00
11 5.91 17.81 5.41 17.31 4.91 16.81 4.41 16.31 3.91 15.81 3.45 15.31 3.04 14.81 2.67 14.31 2.33 13.81 1.73 12.81 1.01 11.81 0.02 10.81 0.00  9.81 0.00  8.81 0.00  7.81 0.00  6.81 0.00  5.81 0.00  4.81 0.00  4.39 0.00  3.69
12 7.01 19.00 6.51 18.50 6.01 18.00 5.51 17.50 5.01 17.00 4.51 16.50 4.01 16.00 3.54 15.50 3.12 15.00 2.38 14.00 1.57 13.00 0.83 12.00 0.00 11.00 0.00 10.00 0.00  9.00 0.00  8.00 0.00  7.00 0.00  6.05 0.00  5.19 0.00  4.42
13 7.42 20.05 6.92 19.55 6.42 19.05 5.92 18.55 5.42 18.05 4.92 17.55 4.42 17.05 3.95 16.55 3.53 16.05 2.78 15.05 2.14 14.05 1.50 13.05 0.65 12.05 0.00 11.05 0.00 10.05 0.00  9.05 0.00  8.05 0.00  7.05 0.00  6.08 0.00  5.22
14 8.50 21.50 8.00 21.00 7.50 20.50 7.00 20.00 6.50 19.50 6.00 19.00 5.50 18.50 5.00 18.00 4.50 17.50 3.59 16.50 2.83 15.50 2.13 14.50 1.39 13.50 0.47 12.50 0.00 11.50 0.00 10.50 0.00  9.50 0.00  8.50 0.00  7.50 0.00  6.55
15 9.48 22.52 8.98 22.02 8.48 21.52 7.98 21.02 7.48 20.52 6.98 20.02 6.48 19.52 5.98 19.02 5.48 18.52 4.48 17.52  3.48 16.52 2.56 15.52 1.98 14.52 1.26 13.52 0.30 12.52 0.00 11.52 0.00 10.52 0.00  9.52 0.00  8.52 0.00  7.52
16 9.99 23.99 9.49 23.49 8.99 22.99 8.49 22.49 7.99 21.99 7.49 21.49 6.99 20.99 6.49 20.49 5.99 19.99 4.99 18.99 4.07 17.99 3.28 16.99 2.60 15.99 1.82 14.99 1.13 13.99 0.14 12.99 0.00 11.99 0.00 10.99 0.00  9.99 0.00  8.99
17 11.04 25.02 10.54 24.52 10.04 24.02 9.54 23.52 9.04 23.02 8.54 22.52 8.04 22.02 7.54 21.52 7.04 21.02 6.04 20.02 5.04 19.02 4.11 18.02 3.32 17.02 2.38 16.02 1.81 15.02 0.98 14.02 0.00 13.02 0.00 12.02 0.00 11.02 0.00 10.02
18 11.47 26.16 10.97 25.66 10.47 25.16 9.97 24.66 9.47 24.16 8.97 23.66 8.47 23.16 7.97 22.66 7.47 22.16 6.47 21.16 5.47 20.16 4.54 19.16 3.73 18.16 3.02 17.16 2.40 16.16 1.70 15.16 0.82 14.16 0.00 13.16 0.00 12.16 0.00 11.16
19 12.51 27.51 12.01 27.01 11.51 26.51 11.01 26.01 10.51 25.51 10.01 25.01 9.51 24.51 9.01 24.01 8.51 23.51 7.51 22.51  6.51 21.51 5.51 20.51 4.58 19.51 3.77 18.51 3.05 17.51 2.21 16.51 1.58 15.51 0.67 14.51 0.00 13.51 0.00 12.51
20 13.55 28.52 13.05 28.02 12.55 27.52 12.05 27.02 11.55 26.52 11.05 26.02 10.55 25.52 10.05 25.02 9.55 24.52 8.55 23.52  7.55 22.52 6.55 21.52 5.55 20.52 4.55 19.52 3.55 18.52 2.81 17.52 2.23 16.52 1.48 15.52 0.53 14.52 0.00 13.52
